item_code,item_name,display_level,selectable,sort_sequence
AA0,All items - old base,0,T,2,
AA0R,Purchasing power of the consumer dollar - old base,0,T,399,
SA0,All items,0,T,1,
SA0E,Energy,1,T,374,
SA0L1,All items less food,1,T,358,
SA0L12,All items less food and shelter,1,T,361,
SA0L12E,"All items less food, shelter, and energy",1,T,362,
SA0L12E4,"All items less food, shelter, energy, and used cars and trucks",1,T,363,
SA0L1E,All items less food and energy,1,T,359,
SA0L2,All items less shelter,1,T,360,
SA0L5,All items  less medical care,1,T,356,
SA0LE,All items less energy,1,T,357,
SA0R,Purchasing power of the consumer dollar,0,T,398,
SA311,Apparel less footwear,1,T,364,
SAA,Apparel,0,T,187,
SAA1,Men's and boys' apparel,1,T,188,
SAA2,Women's and girls' apparel,1,T,195,
SAC,Commodities,1,T,365,
SACE,Energy commodities,1,T,375,
SACL1,Commodities less food,1,T,366,
SACL11,Commodities less food and beverages,1,T,367,
SACL1E,Commodities less food and energy commodities,1,T,368,
SACL1E4,"Commodities less food, energy, and used cars and trucks",1,T,369,
SAD,Durables,1,T,371,
SAE,Education and communication,0,T,311,
SAE1,Education,1,T,312,
SAE2,Communication,1,T,320,
SAE21,Information and information processing,2,T,324,
SAEC,Education and communication commodities,1,T,372,
SAES,Education and communication services,1,T,373,
SAF,Food and beverages,0,T,3,
SAF1,Food,1,T,4,
SAF11,Food at home,2,T,5,
SAF111,Cereals and bakery products,3,T,6,
SAF112,"Meats, poultry, fish, and eggs",3,T,24,
SAF1121,"Meats, poultry, and fish",4,T,25,
SAF11211,Meats,5,T,26,
SAF113,Fruits and vegetables,3,T,63,
SAF1131,Fresh fruits and vegetables,4,T,64,
SAF114,Nonalcoholic beverages and beverage materials,3,T,84,
SAF115,Other food at home,3,T,94,
SAF116,Alcoholic beverages,2,T,125,
SAG,Other goods and services,0,T,335,
SAG1,Personal care,1,T,339,
SAGC,Other goods,1,T,383,
SAGS,Other personal services,1,T,384,
SAH,Housing,0,T,136,
SAH1,Shelter,1,T,137,
SAH2,Fuels and utilities,1,T,145,
SAH21,Household energy,2,T,146,
SAH3,Household furnishings and operations,1,T,156,
SAH31,Household furnishings and supplies,1,T,376,
SAM,Medical care,0,T,250,
SAM1,Medical care commodities,1,T,251,
SAM2,Medical care services,1,T,256,
SAN,Nondurables,1,T,378,
SAN1D,Domestically produced farm food,1,T,370,
SANL1,Nondurables less food,1,T,379,
SANL11,Nondurables less food and beverages,1,T,381,
SANL113,"Nondurables less food, beverages, and apparel",1,T,382,
SANL13,Nondurables less food and apparel,1,T,380,
SAR,Recreation,0,T,269,
SARC,Recreation commodities,1,T,386,
SARS,Recreation services,1,T,387,
SAS,Services,1,T,389,
SAS24,Utilities and public transportation,1,T,395,
SAS2RS,Rent of shelter,1,T,388,
SAS367,Other services,1,T,385,
SAS4,Transportation services,1,T,394,
SASL2RS,Services less rent of shelter,1,T,392,
SASL5,Services less medical care services,1,T,391,
SASLE,Services less energy services,1,T,390,
SAT,Transportation,0,T,210,
SAT1,Private transportation,1,T,211,
SATCLTB,Transportation commodities less motor fuel,1,T,393,
SEAA,Men's apparel,2,T,189,
SEAA01,"Men's suits, sport coats, and outerwear",3,T,190,
SEAA02,Men's furnishings,3,T,191,
SEAA03,Men's shirts and sweaters,3,T,192,
SEAA04,Men's pants and shorts,3,T,193,
SEAB,Boys' apparel,2,T,194,
SEAC,Women's apparel,2,T,196,
SEAC01,Women's outerwear,3,T,197,
SEAC02,Women's dresses,3,T,198,
SEAC03,Women's suits and separates,3,T,199,
SEAC04,"Women's underwear, nightwear, sportswear and accessories",3,T,200,
SEAD,Girls' apparel,2,T,201,
SEAE,Footwear,1,T,202,
SEAE01,Men's footwear,2,T,203,
SEAE02,Boys' and girls' footwear,2,T,204,
SEAE03,Women's footwear,2,T,205,
SEAF,Infants' and toddlers' apparel,1,T,206,
SEAG,Jewelry and watches,1,T,207,
SEAG01,Watches,2,T,208,
SEAG02,Jewelry,2,T,209,
SEEA,Educational books and supplies,2,T,313,
