series,period,year,date,value
CUUR0000SA0,M01,1913,1913-01-01,9.8
CUUR0000SA0,M02,1913,1913-02-01,9.8
CUUR0000SA0,M03,1913,1913-03-01,9.8
CUUR0000SA0,M04,1913,1913-04-01,9.8
CUUR0000SA0,M05,1913,1913-05-01,9.7
CUUR0000SA0,M06,1913,1913-06-01,9.8
CUUR0000SA0,M07,1913,1913-07-01,9.9
CUUR0000SA0,M08,1913,1913-08-01,9.9
CUUR0000SA0,M09,1913,1913-09-01,10.0
CUUR0000SA0,M10,1913,1913-10-01,10.0
CUUR0000SA0,M11,1913,1913-11-01,10.1
CUUR0000SA0,M12,1913,1913-12-01,10.0
CUUR0000SA0,M13,1913,1913-01-01,9.9
CUUR0000SA0,M01,1914,1914-01-01,10.0
CUUR0000SA0,M02,1914,1914-02-01,9.9
CUUR0000SA0,M03,1914,1914-03-01,9.9
CUUR0000SA0,M04,1914,1914-04-01,9.8
CUUR0000SA0,M05,1914,1914-05-01,9.9
CUUR0000SA0,M06,1914,1914-06-01,9.9
CUUR0000SA0,M07,1914,1914-07-01,10.0
CUUR0000SA0,M08,1914,1914-08-01,10.2
CUUR0000SA0,M09,1914,1914-09-01,10.2
CUUR0000SA0,M10,1914,1914-10-01,10.1
CUUR0000SA0,M11,1914,1914-11-01,10.2
CUUR0000SA0,M12,1914,1914-12-01,10.1
CUUR0000SA0,M13,1914,1914-01-01,10.0
CUUR0000SA0,M01,1915,1915-01-01,10.1
CUUR0000SA0,M02,1915,1915-02-01,10.0
CUUR0000SA0,M03,1915,1915-03-01,9.9
CUUR0000SA0,M04,1915,1915-04-01,10.0
CUUR0000SA0,M05,1915,1915-05-01,10.1
CUUR0000SA0,M06,1915,1915-06-01,10.1
CUUR0000SA0,M07,1915,1915-07-01,10.1
CUUR0000SA0,M08,1915,1915-08-01,10.1
CUUR0000SA0,M09,1915,1915-09-01,10.1
CUUR0000SA0,M10,1915,1915-10-01,10.2
CUUR0000SA0,M11,1915,1915-11-01,10.3
CUUR0000SA0,M12,1915,1915-12-01,10.3
CUUR0000SA0,M13,1915,1915-01-01,10.1
CUUR0000SA0,M01,1916,1916-01-01,10.4
CUUR0000SA0,M02,1916,1916-02-01,10.4
CUUR0000SA0,M03,1916,1916-03-01,10.5
CUUR0000SA0,M04,1916,1916-04-01,10.6
CUUR0000SA0,M05,1916,1916-05-01,10.7
CUUR0000SA0,M06,1916,1916-06-01,10.8
CUUR0000SA0,M07,1916,1916-07-01,10.8
CUUR0000SA0,M08,1916,1916-08-01,10.9
CUUR0000SA0,M09,1916,1916-09-01,11.1
CUUR0000SA0,M10,1916,1916-10-01,11.3
CUUR0000SA0,M11,1916,1916-11-01,11.5
CUUR0000SA0,M12,1916,1916-12-01,11.6
CUUR0000SA0,M13,1916,1916-01-01,10.9
CUUR0000SA0,M01,1917,1917-01-01,11.7
CUUR0000SA0,M02,1917,1917-02-01,12.0
CUUR0000SA0,M03,1917,1917-03-01,12.0
CUUR0000SA0,M04,1917,1917-04-01,12.6
CUUR0000SA0,M05,1917,1917-05-01,12.8
CUUR0000SA0,M06,1917,1917-06-01,13.0
CUUR0000SA0,M07,1917,1917-07-01,12.8
CUUR0000SA0,M08,1917,1917-08-01,13.0
CUUR0000SA0,M09,1917,1917-09-01,13.3
CUUR0000SA0,M10,1917,1917-10-01,13.5
CUUR0000SA0,M11,1917,1917-11-01,13.5
CUUR0000SA0,M12,1917,1917-12-01,13.7
CUUR0000SA0,M13,1917,1917-01-01,12.8
CUUR0000SA0,M01,1918,1918-01-01,14.0
CUUR0000SA0,M02,1918,1918-02-01,14.1
CUUR0000SA0,M03,1918,1918-03-01,14.0
CUUR0000SA0,M04,1918,1918-04-01,14.2
CUUR0000SA0,M05,1918,1918-05-01,14.5
CUUR0000SA0,M06,1918,1918-06-01,14.7
CUUR0000SA0,M07,1918,1918-07-01,15.1
CUUR0000SA0,M08,1918,1918-08-01,15.4
CUUR0000SA0,M09,1918,1918-09-01,15.7
CUUR0000SA0,M10,1918,1918-10-01,16.0
CUUR0000SA0,M11,1918,1918-11-01,16.3
CUUR0000SA0,M12,1918,1918-12-01,16.5
CUUR0000SA0,M13,1918,1918-01-01,15.1
CUUR0000SA0,M01,1919,1919-01-01,16.5
CUUR0000SA0,M02,1919,1919-02-01,16.2
CUUR0000SA0,M03,1919,1919-03-01,16.4
CUUR0000SA0,M04,1919,1919-04-01,16.7
CUUR0000SA0,M05,1919,1919-05-01,16.9
CUUR0000SA0,M06,1919,1919-06-01,16.9
CUUR0000SA0,M07,1919,1919-07-01,17.4
CUUR0000SA0,M08,1919,1919-08-01,17.7
CUUR0000SA0,M09,1919,1919-09-01,17.8
CUUR0000SA0,M10,1919,1919-10-01,18.1
CUUR0000SA0,M11,1919,1919-11-01,18.5
CUUR0000SA0,M12,1919,1919-12-01,18.9
CUUR0000SA0,M13,1919,1919-01-01,17.3
CUUR0000SA0,M01,1920,1920-01-01,19.3
CUUR0000SA0,M02,1920,1920-02-01,19.5
CUUR0000SA0,M03,1920,1920-03-01,19.7
CUUR0000SA0,M04,1920,1920-04-01,20.3
CUUR0000SA0,M05,1920,1920-05-01,20.6
CUUR0000SA0,M06,1920,1920-06-01,20.9
CUUR0000SA0,M07,1920,1920-07-01,20.8
CUUR0000SA0,M08,1920,1920-08-01,20.3
CUUR0000SA0,M09,1920,1920-09-01,20.0
CUUR0000SA0,M10,1920,1920-10-01,19.9
CUUR0000SA0,M11,1920,1920-11-01,19.8
CUUR0000SA0,M12,1920,1920-12-01,19.4
CUUR0000SA0,M13,1920,1920-01-01,20.0
CUUR0000SA0,M01,1921,1921-01-01,19.0
CUUR0000SA0,M02,1921,1921-02-01,18.4
CUUR0000SA0,M03,1921,1921-03-01,18.3
CUUR0000SA0,M04,1921,1921-04-01,18.1
CUUR0000SA0,M05,1921,1921-05-01,17.7
